,Position,Track Name,Artist,Stream Count/Week,URL,source,Week Ending,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,1,Blinding Lights,The Weeknd,41066317,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,0sf12qNH5qcw8qpgymFOqD,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,201573,30,0.513,0.00147,0.796,0.000209,0.0938,-4.075,0.0629,171.017,4
1,2,The Box,Roddy Ricch,37470185,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,0nbXyq5TXYPCO7pr3N8S4I,The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,196652,88,0.896,0.104,0.586,0.0,0.79,-6.687,0.0559,116.971,4
2,3,Dance Monkey,Tones And I,36071262,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,69,0.825,0.688,0.593,0.000161,0.17,-6.401,0.0988,98.078,4
3,4,Don't Start Now,Dua Lipa,32169572,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,85,0.794,0.0125,0.793,0.0,0.0952,-4.521,0.0842,123.941,4
4,5,La Difícil,Bad Bunny,29598307,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,6NfrH0ANGmgBXyxgV2PeXt,La Difícil,YHLQMDLG,Bad Bunny,2020-02-28,163084,81,0.685,0.0861,0.848,7.14e-06,0.0783,-4.561,0.0858,179.87,4
5,6,Intentions (feat. Quavo),Justin Bieber,27261529,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,81,0.806,0.3,0.546,0.0,0.102,-6.637,0.0575,147.986,4
6,7,Si Veo a Tu Mamá,Bad Bunny,25902740,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,41wtwzCZkXwpnakmwJ239F,Si Veo a Tu Mamá,YHLQMDLG,Bad Bunny,2020-02-28,170971,82,0.9,0.402,0.603,4.81e-06,0.134,-5.313,0.0646,129.928,4
7,8,Say So,Doja Cat,25693166,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,3Dv1eDb0MEgF93GpLXlucZ,Say So,Hot Pink,Doja Cat,2019-11-07,237893,85,0.787,0.256,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,4
8,9,Tusa,KAROL G,25559126,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7k4t7uLgtOxPwTpFmtJNTY,Tusa,Tusa,KAROL G,2019-11-07,200960,86,0.803,0.295,0.715,0.000134,0.0574,-3.28,0.298,101.085,4
9,10,Ignorantes,Bad Bunny,24557120,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,38RIEav39FGi86jppxO0du,Ignorantes,YHLQMDLG,Bad Bunny,2020-02-28,210606,75,0.85,0.267,0.536,3.89e-05,0.0996,-5.161,0.0599,96.029,4
10,11,Falling,Trevor Daniel,24350925,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,4TnjEaWOeW0eKTKIEvJyCa,Falling,Falling,Trevor Daniel,2018-10-05,159381,85,0.785,0.123,0.431,0.0,0.0887,-8.756,0.0364,127.085,4
11,12,ROXANNE,Arizona Zervas,22926539,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,696DnlkuDOXcMAnKlTgXXK,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,85,0.621,0.0522,0.601,0.0,0.46,-5.616,0.148,116.735,5
12,13,Safaera,Bad Bunny,22902153,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2DEZmgHKAvm41k4J3R2E9Y,Safaera,YHLQMDLG,Bad Bunny,2020-02-28,295176,83,0.607,0.0103,0.829,0.0,0.107,-4.074,0.379,96.172,4
13,14,Circles,Post Malone,19990944,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,21jGcNKet2qwijlDFuPiPb,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,89,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4
14,15,Baby Pluto,Lil Uzi Vert,19868123,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7hav1MHURQf5SAoPk0egqh,Baby Pluto,Eternal Atake,Lil Uzi Vert,2020-03-06,210261,73,0.772,0.135,0.634,0.0,0.432,-6.101,0.212,160.052,4
15,16,That Way - Bonus Track,Lil Uzi Vert,19179897,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2ajzBr7vwHTEBeqDzcsNRC,That Way - Bonus Track,Eternal Atake,Lil Uzi Vert,2020-03-06,212354,71,0.712,0.0546,0.598,0.0,0.154,-5.368,0.0388,130.007,4
16,17,La Santa,Bad Bunny,18935957,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,69vlMrzHwATKzupwNcUPyK,La Santa,YHLQMDLG,Bad Bunny,2020-02-28,206420,82,0.744,0.0326,0.868,0.0,0.0822,-4.524,0.047,93.037,4
17,18,Someone You Loved,Lewis Capaldi,18934696,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,90,0.501,0.751,0.405,0.0,0.105,-5.679,0.0319,109.891,4
18,19,Roses - Imanbek Remix,SAINt JHN,18241624,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-10-09,176840,88,0.77,0.0167,0.724,0.0107,0.353,-5.484,0.0495,121.975,4
19,20,Blueberry Faygo,Lil Mosey,18207525,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,Certified Hitmaker,Lil Mosey,2020-02-06,162546,82,0.774,0.207,0.554,0.0,0.132,-7.909,0.0383,99.034,4
20,21,P2,Lil Uzi Vert,18179065,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,3kW4z2pIj5VY5fLjBrMRL5,P2,Eternal Atake,Lil Uzi Vert,2020-03-06,234626,78,0.775,0.0236,0.72,0.0,0.114,-5.353,0.193,155.086,4
21,22,death bed (coffee for your head),Powfu,18052083,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),death bed (coffee for your head),Powfu,2020-02-08,173333,89,0.726,0.731,0.431,0.0,0.696,-8.765,0.135,144.026,4
22,23,Godzilla (feat. Juice WRLD),Eminem,18003591,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,210800,86,0.808,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,4
23,24,Sunday Best,Surfaces,17775498,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Where the Light Is,Surfaces,2019-01-06,158571,83,0.878,0.183,0.525,0.0,0.0714,-6.832,0.0578,112.022,4
24,25,Yummy,Justin Bieber,17419811,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,16wAOAZ2OkqoIDN7TpChjR,Yummy,Changes,Justin Bieber,2020-02-14,208520,75,0.676,0.345,0.506,0.0,0.118,-6.652,0.0958,145.842,4
25,26,Vete,Bad Bunny,17198611,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2n7ohqg1s68ToAHh4u9mcW,Vete,YHLQMDLG,Bad Bunny,2020-02-28,192024,74,0.886,0.0363,0.672,8.78e-06,0.101,-4.394,0.188,91.976,4
26,27,Memories,Maroon 5,17048480,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2b8fOow8UzyDFAE27YhOZM,Memories,Memories,Maroon 5,2019-09-20,189486,88,0.764,0.837,0.32,0.0,0.0822,-7.209,0.0546,91.019,4
27,28,Life Is Good (feat. Drake),Future,16868529,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,2020-01-10,237735,85,0.676,0.0706,0.609,0.0,0.152,-5.831,0.481,142.037,4
28,29,Stupid Love,Lady Gaga,16190908,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2kJu14V7hbZw3I4K8L8SXb,Stupid Love,Stupid Love,Lady Gaga,2020-02-28,193530,39,0.676,0.00146,0.815,0.00041,0.275,-4.294,0.0625,117.973,4
29,30,Adore You,Harry Styles,16183348,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,3jjujdWJ72nww5eGnfs2E7,Adore You,Fine Line,Harry Styles,2019-12-13,207133,87,0.676,0.0237,0.771,7e-06,0.102,-3.675,0.0483,99.048,4
30,31,Lo Mein,Lil Uzi Vert,16121763,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,6CUP2khYzdphXebxVTfPE3,Lo Mein,Eternal Atake,Lil Uzi Vert,2020-03-06,195299,70,0.855,0.0888,0.676,0.0,0.144,-5.736,0.325,133.082,4
31,32,everything i wanted,Billie Eilish,15786729,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,87,0.704,0.902,0.225,0.657,0.106,-14.454,0.0994,120.006,4
32,33,No Time To Die,Billie Eilish,15278508,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,73SpzrcaHk0RQPFP73vqVR,No Time To Die,No Time To Die,Billie Eilish,2020-02-13,242265,79,0.38,0.917,0.219,0.0104,0.0827,-13.273,0.0358,73.537,4
33,34,bad guy,Billie Eilish,15152307,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2Fxmhks0bxGSBdJ92vM42m,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,88,0.701,0.328,0.425,0.13,0.1,-10.965,0.375,135.128,4
34,35,Yo Perreo Sola,Bad Bunny,15042972,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,0SqqAgdovOE24BzxIClpjw,Yo Perreo Sola,YHLQMDLG,Bad Bunny,2020-02-28,172127,82,0.86,0.021,0.758,6.54e-05,0.344,-5.16,0.0695,97.014,4
35,36,Silly Watch,Lil Uzi Vert,14661790,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,5egD7A5x9AHdVO2fMo3Wbo,Silly Watch,Eternal Atake,Lil Uzi Vert,2020-03-06,195692,68,0.903,0.0298,0.535,0.0,0.0851,-6.238,0.286,130.117,4
36,37,Physical,Dua Lipa,14457363,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,5px6upUHM3fhOP621Edp4V,Physical,Physical,Dua Lipa,2020-01-30,193829,74,0.647,0.0137,0.844,0.000658,0.102,-3.756,0.0457,146.962,4
37,38,Rojo,J Balvin,14266798,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,4uziEsK1yiqdauKVDPsmVG,Rojo,Rojo,J Balvin,2020-02-27,150853,75,0.652,0.15,0.595,0.000115,0.0842,-4.04,0.113,172.27,4
38,39,Before You Go,Lewis Capaldi,14065736,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,85,0.459,0.604,0.575,0.0,0.0885,-4.858,0.0573,111.881,4
39,40,Señorita,Shawn Mendes,14021665,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,82,0.759,0.0392,0.548,0.0,0.0828,-6.049,0.029,116.967,4
40,41,After Hours,The Weeknd,13857009,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,4ejyZ4uJEXUURcgKp1kP8v,After Hours,After Hours,The Weeknd,2020-02-19,361946,5,0.663,0.0938,0.567,0.00978,0.124,-5.941,0.0309,108.959,4
41,42,You should be sad,Halsey,13776499,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7lidXGPXPYLNThITAOTlkK,You should be sad,Manic,Halsey,2020-01-17,205473,79,0.591,0.143,0.585,0.0,0.109,-6.35,0.0277,110.94,4
42,43,Sigues Con El,Dímelo Flow,13400960,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7sQKy5vlPQllr0k9IjYJv3,Sigues Con El,Sigues Con El,Dímelo Flow,2019-12-13,226532,79,0.883,0.11,0.668,0.000529,0.0734,-2.957,0.113,87.972,4
43,44,Pero Ya No,Bad Bunny,13005967,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,75pQqzwgCjUOSSy5CpmAjy,Pero Ya No,YHLQMDLG,Bad Bunny,2020-02-28,160638,75,0.882,0.0475,0.612,5.07e-06,0.182,-6.103,0.118,147.982,4
44,45,RITMO (Bad Boys For Life),Black Eyed Peas,12970153,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),RITMO (Bad Boys For Life),Black Eyed Peas,2019-10-12,221714,81,0.721,0.0334,0.716,0.00084,0.237,-7.037,0.0657,104.994,4
45,46,I Love Me,Demi Lovato,12811166,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2IHLaN6wwYKQ3S24NsQqpA,I Love Me,I Love Me,Demi Lovato,2020-03-06,203672,75,0.664,0.00261,0.561,0.0,0.0764,-7.031,0.0495,150.093,4
46,47,My Oh My (feat. DaBaby),Camila Cabello,12589498,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),Romance,Camila Cabello,2019-12-06,170746,81,0.724,0.018,0.491,1.29e-05,0.0887,-6.024,0.0296,105.046,4
47,48,Morado,J Balvin,12586558,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,3mQ6SLdxxaL52Yte7KF2Ks,Morado,Morado,J Balvin,2020-01-09,200666,75,0.881,0.137,0.696,4.13e-05,0.0927,-3.838,0.0797,97.002,4
48,49,Supalonely,BENEE,12085039,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,4nK5YrxbMGZstTLbvj6Gxw,Supalonely,STELLA & STEVE,BENEE,2019-11-15,223480,81,0.863,0.305,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,4
49,50,Moral of the Story,Ashe,12068945,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2nC3QhMI9reBIOWutbU3Tj,Moral of the Story,Moral of the Story,Ashe,2019-02-14,201083,81,0.572,0.587,0.406,4.48e-06,0.102,-8.624,0.0427,119.812,4
50,51,Homecoming,Lil Uzi Vert,12068329,https://open.spotify.com/track/6vxU64pcIuQ38O015Zy4qj,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,6vxU64pcIuQ38O015Zy4qj,Homecoming,Eternal Atake,Lil Uzi Vert,2020-03-06,213884,66,0.929,0.000592,0.563,0.0,0.244,-7.428,0.49,129.957,4
51,52,I'm Sorry,Lil Uzi Vert,11828199,https://open.spotify.com/track/1xcOYJxDa5pObgxY1r0I9c,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,1xcOYJxDa5pObgxY1r0I9c,I'm Sorry,Eternal Atake,Lil Uzi Vert,2020-03-06,211882,64,0.858,0.213,0.547,0.0,0.104,-5.822,0.29,128.02,4
52,53,Prices,Lil Uzi Vert,11412571,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,4YcWzLSnGqLjSCycuSMHnn,Prices,Eternal Atake,Lil Uzi Vert,2020-03-06,233333,69,0.786,0.173,0.683,0.0,0.706,-5.397,0.205,126.002,4
53,54,High Fashion (feat. Mustard),Roddy Ricch,11375719,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,220486,80,0.831,0.269,0.499,0.0,0.3,-8.442,0.114,97.956,4
54,55,WHATS POPPIN,Jack Harlow,10889702,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,3Q6F8RByyhRTJpRtZLY3cg,WHATS POPPIN,WHATS POPPIN,Jack Harlow,2020-01-21,139741,25,0.923,0.017,0.604,0.0,0.272,-6.671,0.245,145.062,4
55,56,Hola - Remix,Dalex,10699196,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,5stPVcRqb4qixbafP9e8lt,Hola - Remix,Hola (Remix),Dalex,2019-11-01,249520,80,0.654,0.471,0.672,0.0,0.0781,-5.98,0.311,181.857,4
56,57,Futsal Shuffle 2020 - Bonus Track,Lil Uzi Vert,10691864,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2fOlBMkWR7lXJfqp5VTbDG,Futsal Shuffle 2020 - Bonus Track,Eternal Atake,Lil Uzi Vert,2020-03-06,198912,66,0.879,0.0346,0.448,0.0,0.224,-8.57,0.222,136.985,4
57,58,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,10650207,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,82,0.755,0.533,0.522,0.0,0.0685,-4.368,0.0575,89.96,4
58,59,Ride It,Regard,10588562,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2tnVG71enUj33Ic2nFN6kZ,Ride It,Ride It,Regard,2019-07-26,157605,87,0.88,0.177,0.751,6.43e-05,0.106,-4.258,0.0874,117.948,4
59,60,POP,Lil Uzi Vert,10484727,https://open.spotify.com/track/1jDbQz6tr52WgScCTXMnaN,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,1jDbQz6tr52WgScCTXMnaN,POP,Eternal Atake,Lil Uzi Vert,2020-03-06,227474,62,0.741,0.00961,0.599,0.0,0.785,-6.672,0.419,139.891,4
60,61,Celebration Station,Lil Uzi Vert,10396969,https://open.spotify.com/track/25B5fGr9K0VdZJiRFsnMO4,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,25B5fGr9K0VdZJiRFsnMO4,Celebration Station,Eternal Atake,Lil Uzi Vert,2020-03-06,195058,65,0.748,0.101,0.771,0.0,0.135,-4.156,0.15,142.086,4
61,62,Diosa,Myke Towers,10359508,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,3JHpk0DOTOzyh0777JFAky,Diosa,Easy Money Baby,Myke Towers,2020-01-24,214013,79,0.801,0.398,0.745,0.00603,0.153,-3.733,0.063,104.965,4
62,63,Lose Control,MEDUZA,10092989,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7CHi4DtfK4heMlQaudCuHK,Lose Control,Lose Control,MEDUZA,2019-10-11,168387,85,0.598,0.129,0.526,0.0,0.14,-8.659,0.0415,123.935,4
63,64,Bigger Than Life,Lil Uzi Vert,9974143,https://open.spotify.com/track/2oHDJHNondITqbl8xZ9vPn,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2oHDJHNondITqbl8xZ9vPn,Bigger Than Life,Eternal Atake,Lil Uzi Vert,2020-03-06,192705,66,0.776,0.325,0.752,0.0,0.33,-4.711,0.193,140.013,4
64,65,I Don't Care (with Justin Bieber),Ed Sheeran,9914294,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,2019-07-12,219946,77,0.798,0.0902,0.676,0.0,0.0894,-5.041,0.0442,101.956,4
65,66,Bichiyal,Bad Bunny,9880426,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,4j4w4CXm6BSr0s25wAWrrX,Bichiyal,YHLQMDLG,Bad Bunny,2020-02-28,196500,77,0.737,0.31,0.766,6.63e-06,0.114,-4.242,0.0458,93.956,4
66,67,Tattoo,Rauw Alejandro,9856446,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7na7Bk98usp84FaOJFPv3d,Tattoo,Tattoo,Rauw Alejandro,2020-02-13,202886,75,0.755,0.0217,0.617,0.0,0.0625,-5.144,0.182,193.896,4
67,68,Venetia,Lil Uzi Vert,9824605,https://open.spotify.com/track/3BYIzNZ3t9lRQCACXSMLrT,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,3BYIzNZ3t9lRQCACXSMLrT,Venetia,Eternal Atake,Lil Uzi Vert,2020-03-06,188800,66,0.775,0.162,0.757,0.0,0.148,-4.139,0.175,142.933,4
68,69,A Tu Merced,Bad Bunny,9784322,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,4r9jkMEnArtWGH2rL2FZl0,A Tu Merced,YHLQMDLG,Bad Bunny,2020-02-28,175918,81,0.86,0.169,0.791,0.000106,0.106,-4.784,0.0568,92.023,4
69,70,Forever (feat. Post Malone & Clever),Justin Bieber,9724934,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2ZlCGeK30BLRNSPC832pNZ,Forever (feat. Post Malone & Clever),Changes,Justin Bieber,2020-02-14,219933,73,0.825,0.538,0.483,1.48e-05,0.204,-5.746,0.08,139.98,4
70,71,To Die For,Sam Smith,9722034,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2ZTYlnhhV1UAReg7wIGolx,To Die For,To Die For,Sam Smith,2020-02-14,193795,75,0.483,0.832,0.361,4.66e-06,0.098,-7.889,0.0738,171.649,4
71,72,hot girl bummer,blackbear,9611357,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,hot girl bummer,blackbear,2019-08-23,185093,18,0.778,0.128,0.559,0.0,0.399,-7.109,0.0776,129.989,1
72,73,You Better Move,Lil Uzi Vert,9533898,https://open.spotify.com/track/6YAxCn4juTWn5hWl2hzHGw,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,6YAxCn4juTWn5hWl2hzHGw,You Better Move,Eternal Atake,Lil Uzi Vert,2020-03-06,196638,63,0.842,0.159,0.556,0.0,0.204,-6.793,0.442,118.836,4
73,74,CITY OF ANGELS,24kGoldn,9517415,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,6ap9lSRJ0iLriGLqoJ44cq,CITY OF ANGELS,DROPPED OUTTA COLLEGE,24kGoldn,2019-11-22,112493,79,0.686,0.042,0.541,0.0,0.0675,-4.993,0.0493,120.082,4
